review,date,score,helpful,number_of_reviews,number_of_ratings,average_user_score
"I would guess most people that are rating it low for graphics haven’t played the game. Is it unreal engine 5? No, but it has its own stylization, charm, and the visuals are not nearly as bad as some people are claiming. Ground textures could be better, but other visuals are also quite attractive. The changes the game brings, the stunning and clean UI, sounds, music, maps, and unique story all excel so far. I know Game Freak and The Pokemon company probably have the money to hire the best of the best, but maybe they don’t want to do that and support/grow the teams they already have. If this is a giant leap forward for the innovation of Pokémon games, I can imagine the future will only get better.Decide for yourself, watch streams if you need a better place to form your own opinion, and be open to different gaming experiences. 4K hyper realism doesn’t need to be the standard for every AAA game.","Jan 29, 2022",10,44 of 53 users found this helpful,3 Reviews,3 Ratings,0.0
Great Pokemon Game a must have role playing game for ur Nintendo Switch the gameplay is amazing as well.,"Jan 31, 2022",10,9 of 11 users found this helpful,10 Reviews,42 Ratings,10
"It's just amazing, this is the new beginning for pokemón series, off course graphics could be better, but you forget about that quickly when you start playing.","Jan 29, 2022",10,48 of 57 users found this helpful,16 Reviews,19 Ratings,8.7
"Como fan de Pokémon desde el 98, este es un gran paso para la saga. no puedo esperar a las siguientes entregas.","Jan 29, 2022",10,46 of 58 users found this helpful,1 Review,5 Ratings,9.4
"This is my first Pokemon game, and I just want to say that it awesome. I never believed that I'd say such a thing. This game made with love to old school pokemon fans and newcomers.","Feb 2, 2022",10,2 of 5 users found this helpful,2 Reviews,5 Ratings,6.2
"Despite its graphical problems, this is the way of the franchise should walk.It's a must to all pokemon and rpg fans.","Jan 30, 2022",10,23 of 28 users found this helpful,2 Reviews,11 Ratings,10
"I enjoyed it very much, I love all the changes they made to this new Pokemon game. Best Pokemon game in the last ten years!","Jan 30, 2022",10,30 of 38 users found this helpful,4 Reviews,7 Ratings,7.1
"Dont believe what rat fan boys says about PLA, its a great pokemon game, the graphics are not good (its a 2gb graphic card) but the big step its done. I love the game, it has everything that fans need.","Jan 29, 2022",10,44 of 53 users found this helpful,6 Reviews,16 Ratings,6.3
"Where to start... Yes, I get why people don't like this game because of the graphics. However, for someone like me, that has grown up with Pokemon Red in the early days. It's a 7 year old child dream come true. I love this game so much. When I played it, I feel 7 years again playing Pokemon Red for the first time on my Gameboy Colour. Nostagic aside, the gameplay is super fun! Everything feels so smooth, running, throwing a Pokeball to a Shinx and immediatly after that catching another one. Its so addicitive and fun to play. I am only in the first area and spend 15 hours already! For people that not like this game. Ask yourself the question. Are you really a Pokemon fan? Because I don't get why you can hate this game graphics aside. Gamefreak finally shake some things up. And hopefully, they going to improve this concept further with more gameplay options and much better graphics. I am going back to filling my Pokedex! ;-)","Feb 1, 2022",10,10 of 12 users found this helpful,7 Reviews,11 Ratings,7.2
Ignore negative reviews with 0 ratings. They are made by a handful of miserable people who set out to review bomb this game.,"Jan 30, 2022",10,29 of 35 users found this helpful,1 Review,8 Ratings,5.0
"It's not about the graphics. It is about the feelings, the gameplay and being a true RPG Pokémon fan.","Jan 31, 2022",10,20 of 25 users found this helpful,3 Reviews,6 Ratings,0.0
The most fun I’ve had playing a Pokémon game since FireRed. Refreshing and highly addicting gameplay. I hope Pokémon continues in this trend going forward.,"Feb 2, 2022",10,3 of 5 users found this helpful,2 Reviews,2 Ratings,0.0
"Don’t let the haters detract you, this is what we’ve been asking for, and it’s amazing. The primary reason so many are upset is that it is not everything we wanted all at once, but what it does do well is introduce a dizzying array of long held changes us the core life long fans have been asking for! A giant leap forward and makes what ever game comes next, already top of my to watch out for list. Lastly, no matter how you cage it, Gamefreak and A Pokémon Company have built a much more mature story, as asked, and put together a UI/UX design much closer to the TV show, then any previous game to date. Play it for yourself, than judge!","Jan 29, 2022",10,49 of 66 users found this helpful,6 Reviews,6 Ratings,8.8
"amazing game, bad graphics, but is the way that gamefreak must follow to do the perfect Pokemon","Feb 1, 2022",10,11 of 14 users found this helpful,8 Reviews,43 Ratings,5.8
Gerçekten bayıldım en sonunda hayallerindeki oyunu yaptılar puanı çok daha yüksek olmalıydı harika bir oyun olmuş,"Jan 29, 2022",10,51 of 68 users found this helpful,7 Reviews,7 Ratings,8.7
"Pokémon has had a rough transition to 3D. Between the games getting easier to the point of being braindead, the fact that routes feel less like places to explore and more like corridors with occasional wild Pokémon battles, and the designs that keep getting worse and worse with each new generation, the cracks in the seams became a lot more noticeable. This reached its peak when the series made its proper jump to the Nintendo Switch with Pokémon Sword and Pokémon Shield, directed by Shigeru Ohmori, cutting about half of the Pokédex only to sell it back to you later down the line, and just generally looking like an upscaled 3DS game. And then we get the long awaited Sinnoh remakes with Pokémon Brilliant Diamond and Pokémon Shining Pearl, directed by Junichi Masuda, only if you wanted a Sinnoh remake that actually improved on Gen 4's foundation, you're never going to get one until modding gets more advanced.So, with Ohmori most likely working on Gen 9 and Masuda attempting to polish up BDSP, enter Kazumasa Iwao, director of Pokémon Ultra Sun and Ultra Moon, the first game in the 3D era to actually feel like a game. And I think it's safe to say that if anyone needs to be the director of future Pokémon games, it needs to be Iwao, as Ohmori and Masuda are holding the series back. This was the big jump that Pokémon needed, and I'd say it delivers. Yeah, the visuals aren't that great, and the game can either feel grindy, or like a collectathon, but with every Pokémon you catch, you're making progress through the game. I'm currently about to start the 5th area, and the only reason I didn't make this review sooner is that the game is too much fun. This game could very well shape up the future of Pokémon, so do you want more visual novels with occasional monster catching elements, or actual games to sink your time into? If you want the latter, then buy this game.","Feb 1, 2022",10,11 of 13 users found this helpful,3 Reviews,13 Ratings,2.4
"So, so good. Gamefreak really outdid themselves this time, and it's about time they did. I can't recommend this game enough if you've gotten tired of burned out on the usual Pokemon formula.","Feb 4, 2022",10,5 of 7 users found this helpful,3 Reviews,3 Ratings,0.0
"El camino a seguir para Game Freak, no es el juego perfecto pero tampoco es un cero como he visto por ahí así que está nota es para nivelar esa hate que parece que existe hacia esta saga.Mi nota real sería un 8/10, gráficamente es flojo eso es indudable pero tiene muchas bondades que deben persistir en la saga si o si.","Feb 21, 2022",10,0 of 0 users found this helpful,16 Reviews,16 Ratings,7.6
"Compared to the previous entries in the franchise, this is one hell of a game, in a really good way.","Feb 2, 2022",10,3 of 6 users found this helpful,9 Reviews,9 Ratings,9.7
"Great Game a new experience i love Pokémon and i love nintendo exclusive, Buy now My friend","Jan 30, 2022",10,34 of 44 users found this helpful,20 Reviews,21 Ratings,8.4
"Este es un muy buen juego, es divertido y tiene una capacidad de envolver al jugador que me trajo a mi infancia, aunque puede mejorar sus gráficos todo eso se compensa con la jugabilidad que genera una experiencia maravillosa, es el Pókemon que siempre hemos querido, ojalá los siguientes juegos de la IP sean teniendo este como base de jugabilidad.","Jan 31, 2022",10,20 of 25 users found this helpful,5 Reviews,5 Ratings,10
"This is the best pokemon ever made. It has faults but comparing it to the older games it is clearly the best game. The people giving it negative reviews are clearly people who just arent into pokemon and just want to jump on the ""gamefreak lazy"" hate train. Everyone I know who loves pokemon is playing non-stop. I am someone who got the game early and I have battled arceus. It was one of the most fun boss battles iv ever played! And this game overall was fantastic!","Jan 30, 2022",10,29 of 35 users found this helpful,1 Review,2 Ratings,0.0
"Is a solid 8, a great evolution, but im giving it a 10 for the review bombing.you mad that we are having fun? uwu.","Jan 30, 2022",10,31 of 38 users found this helpful,20 Reviews,20 Ratings,6.7
"Perfect. Even both graphics and world blurry or bad textures, I approve the experience to play pokémon as breath of the wild Zelda","Feb 16, 2022",10,0 of 1 users found this helpful,2 Reviews,2 Ratings,0.0
"This is the kind of Pokemon game we were asking for years. Since Pokemon Black and White, the franchise needed a change, and here it is!","Jan 30, 2022",10,29 of 35 users found this helpful,2 Reviews,3 Ratings,0.0
"This game is fantastic! Yes graphically it could be better, but at least for me it doesn't effect my entertainment level in this case. The thing that is really mattering to me is just how much fun it is, once I have started it is hard to stop for hours. It has a gameplay loop that feels good and is very much a ""Just one more thing"" sort of loop. This is no doubt my favorite Pokémon game to have ever released and I hope that the next big title learns from this game, Pokémon is back baby!","Jan 29, 2022",10,51 of 69 users found this helpful,30 Reviews,39 Ratings,8.9
"Отличная игра! Геймплей стал разнообразнее, нет этих коридорных путешествий и тренеров-соперников, стоящих у каждого угла. Чаще всего скучные и проходные битвы с гим-лидерами заменены на интересные битвы с боссами. Добавлена куча активностей: мини-игры, временные разломы, поиск сокровищ, крафт, поиск потерянных вещей другими игроками, споты с покемонами, где можно нарваться на шайника. Графика, да, это минус, но она соответсвует стилистике, а игра и правда очень стильная в своей минималистичности. Но игры про покемонов никогда и не были про графику, а про геймплей. А он здесь очень медитативный и приятный! Очень советую - реально новый свежий взгляд на уже застоявшуюся на одном и том же серию игр.","Jan 30, 2022",10,44 of 53 users found this helpful,1 Review,2 Ratings,0.0
"It has some problems, sure, but boy is it fantastic. Make all Pokémon games like this from now on please!","Jan 30, 2022",10,45 of 54 users found this helpful,4 Reviews,6 Ratings,10
The only thing this game could improve on is graphics. This is a huge step forward for pokemon.,"Feb 2, 2022",10,5 of 9 users found this helpful,26 Reviews,27 Ratings,7.4
"This is the summation of various concepts that have been cooked up within the franchise over the years.A fantastic game that knows what to innovate, and also knows what to keep, personally I can't get off the screen of my Switch because catching pokémon and fighting with them against all kinds of wild creatures is totally stimulatingGame Freak deserves all the love for this.","Jan 29, 2022",10,50 of 68 users found this helpful,42 Reviews,47 Ratings,6.4
"Graphics aside, I think that this is the best game of the franchise by far!","Jan 30, 2022",10,32 of 39 users found this helpful,2 Reviews,3 Ratings,0.0
Amazing gameplay. Feels fresh and makes you really feel like you’re interacting with the world and Pokémon,"Jan 31, 2022",10,20 of 25 users found this helpful,7 Reviews,8 Ratings,6.2
Most fun I've had in a Pokémon game in years.Exploring the different areas and completing Hisui's Pokédex is so addictive! I hope future installments build on what's currently set by legends Arceus.,"Jan 29, 2022",10,47 of 57 users found this helpful,7 Reviews,7 Ratings,10
"The game even factoring in the technical issues is terribly good. I couldn’t imagine a more immersive setting and gameplay. The smoothness of the gameplay loop is ridiculously good, I’m truly having fun like the the first time I played a pokemon game and re living the wonder I felt diving into Hyrule in Botw.This is a 9,6 rounded up, because some details in the shadows should’ve been dealt with properly. The rest is pretty much everything you’ve ever wanted… and a little more.","Jan 31, 2022",10,12 of 16 users found this helpful,3 Reviews,6 Ratings,10
"Game is extremely fun. Been playing Pokemon since blue/red/yellow came out, and this is a really nice turn they achieved. It's totally different then your traditional Pokemon game and I love it. Wide open world, Pokemon everywhere... It's what I have been waiting for since a kid. As what others have said, graphics are a bit meh, but it's still really fun. Dangerous change they did, and imo it worked. Let's hope they improve upon this for the next game","Jan 29, 2022",10,45 of 54 users found this helpful,3 Reviews,3 Ratings,0.0
"Love it, this new direction is great and I hope Game Freak expand on it. The gameplay is unique and only Pokemon is capable of making this work.","Feb 7, 2022",10,4 of 6 users found this helpful,2 Reviews,10 Ratings,8.3
"El juego es increíble. Es hasta ahora el primer juego de Pokémon que trasciende la fórmula tradicional, está enfocado en la exploración por lo que como era de esperarse la dificultad es bastante alta, en especial con el tema de los Pokémon Alfa. Tiene todo lo que le faltaba a la saga.","Feb 5, 2022",10,4 of 6 users found this helpful,9 Reviews,23 Ratings,6.1
"Best Pokemon game. This is the way, there is no way back, this is what Pokemon needed","Jan 30, 2022",10,33 of 40 users found this helpful,2 Reviews,2 Ratings,0.0
Nah boludo este juego está re piola boludo Che este juego está buenardo papu,"Jan 30, 2022",10,30 of 38 users found this helpful,3 Reviews,5 Ratings,6.2
This is the way that pokémon games should be. The graphics is not that bad and actually it's a sort of unique for Pokémon games.It's amazingly Satisfying.,"Jan 30, 2022",10,24 of 29 users found this helpful,6 Reviews,6 Ratings,8.5
"This game is an 8 but because it looks like they finally listen and there is a lot of pointless 0 i am going to give them a 10 , I hope they continue down this path and continue improving the franchise , they need to put more effort in the graphics , i love the style but there is a lot of graphical problems , also make the world feel more alive with more interactive pokemon and npcs , also i want to see more dungeons and caves more moves and see how they improve the battle system more","Feb 5, 2022",10,4 of 10 users found this helpful,4 Reviews,10 Ratings,8.9
"This is easily one of the best pokemon games released in years, highly recommend to anyone.","Jan 31, 2022",10,21 of 27 users found this helpful,4 Reviews,7 Ratings,6.1
"The gameplay itself is so addictive, innovative and good, that I rate it 15/10.This equalizes the downsides of the graphics that are only sometimes bad. In general graphics are actually good and similar to Breath of the Wild.Sound is good, e.g. echoes in caves and different great music in situation like nearby strong enemies. Finally I can love Pokemon again. All last 4 games before were bad, finally a masterpiece. The game mechanics itself are fun enough to keep you playing","Jan 31, 2022",10,6 of 8 users found this helpful,6 Reviews,6 Ratings,6.8
Sem sombra de dúvidas a melhor aventura de Pokémon desde a era Game Boy. Vale a pena curtir e jogar o jogo em todas as missões e sidequests. Vale umas 80h tranquilamente,"Feb 20, 2022",10,0 of 1 users found this helpful,5 Reviews,5 Ratings,5.0
Easily the best Pokémon game that has come from GameFreak! All the new mechanics work and flow really nicely. Yes the graphics aren’t amazing but for what they are they are good.,"Feb 3, 2022",10,3 of 7 users found this helpful,3 Reviews,4 Ratings,0.0
The evolution the franchise needed. Hope the next game follows the same path as this one.,"Jan 31, 2022",10,20 of 25 users found this helpful,2 Reviews,2 Ratings,0.0
I am absolutely addicted. Fantastic shake up to the formula and the best Pokémon experience by far to date.,"Jan 29, 2022",10,49 of 62 users found this helpful,3 Reviews,3 Ratings,0.0
